ARG	feature	score_RF	score_Odds
K19077	K06861	0.0014301539909179	-0.9194639168298278
K19077	K06867	1.497364792701307e-06	-0.6478569241989853
K19077	K06872	0.0004975611040664	0.6873608951552678
K19077	K06878	0.0026310859155211	-0.0870400525268768
K19077	K06881	8.023785730007728e-05	0.7320332205606629
K19077	K06885	6.606549135922204e-06	-0.1933984501453727
K19077	K06886	0.0006484542706077	-0.8879544471261498
K19077	K06894	2.465237403551147e-05	-0.5363874869823642
K19077	K06902	7.604802118965335e-05	-0.6525454646446416
K19077	K06916	2.403718187828976e-16	-0.3910426310569306
K19077	K06954	3.028498286290309e-16	-0.3842544925128606
K19077	K06960	2.8431772358933736e-05	0.7839132138333756
K19077	K06962	0.0024735874751456	1.0872789732821688
K19077	K06967	0.0092914519398961	1.2502065230257975
K19077	K06969	0.0002073016468965	0.6327574606044546
K19077	K06975	7.332646321086079e-05	-0.6807196517637256
K19077	K06976	2.8920983342572105e-08	-0.092654356943912
K19077	K06980	3.8651417044317056e-05	-0.7088825953471223
K19077	K06991	7.006460886333136e-16	-0.1541285451684458
